participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,1,novel_word_condition,apples,apple_apple_4_0.png,11,apples,1,3830,4,0
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,1,novel_word_condition,apples,apple_apple_2_0.png,7,apples,2,4209,2,0
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,2,novel_word_condition,mushrooms,mushroom_bell_2_2.png,11,tinches,1,4018,2,2
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,2,novel_word_condition,mushrooms,mushroom_toadstool_3_1.png,3,tinches,2,6635,3,1
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,3,novel_word_condition,flowers,flower_trumpet_3_2.png,9,nefts,1,4242,3,2
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,3,novel_word_condition,flowers,flower_trumpet_2_2.png,5,nefts,2,4660,2,2
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,4,novel_word_condition,shells,shell_spiral_3_1.png,10,palts,1,3909,3,1
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,4,novel_word_condition,shells,shell_spiral_1_1.png,2,palts,2,4997,1,1
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,5,novel_word_condition,leaves,leaf_oak_1_1.png,9,bines,1,3796,1,1
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,5,novel_word_condition,leaves,leaf_oak_2_1.png,6,bines,2,4196,2,1
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,0,familiar_word_condition,apples,apple_apple_5_0.png,2,apples,1,4409,5,0
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,0,familiar_word_condition,apples,apple_apple_2_0.png,3,apples,2,5177,2,0
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,1,familiar_word_condition,carrots,carrot_carrot_5_0.png,11,carrots,1,4146,5,0
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,1,familiar_word_condition,carrots,carrot_carrot_4_0.png,7,carrots,2,5029,4,0
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,2,familiar_word_condition,shells,shell_fan_2_1.png,6,shells,1,4396,2,1
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,2,familiar_word_condition,shells,shell_fan_1_1.png,1,shells,2,6397,1,1
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,3,familiar_word_condition,leaves,leaf_oak_3_1.png,10,leaves,1,4179,3,1
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,3,familiar_word_condition,leaves,leaf_oak_1_1.png,1,leaves,2,5296,1,1
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,4,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,6,mushrooms,1,4163,3,1
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,4,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,10,mushrooms,2,5059,1,1
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,5,familiar_word_condition,flowers,flower_trumpet_2_2.png,6,flowers,1,3219,2,2
7,borrowing_kids_pilot,5,07/14/2025,10:49:14,5,familiar_word_condition,flowers,flower_trumpet_3_2.png,5,flowers,2,3952,3,2
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,0,novel_word_condition,apples,apple_apple_6_0.png,5,apples,1,4618,6,0
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,0,novel_word_condition,apples,apple_apple_4_0.png,1,apples,2,6433,4,0
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,1,novel_word_condition,carrots,carrot_carrot_5_0.png,4,carrots,1,11439,5,0
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,1,novel_word_condition,carrots,carrot_carrot_2_0.png,0,carrots,2,12732,2,0
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,2,novel_word_condition,shells,shell_stingray_3_2.png,8,bines,1,5212,3,2
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,2,novel_word_condition,shells,shell_stingray_1_2.png,3,bines,2,8511,1,2
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,3,novel_word_condition,flowers,flower_trumpet_1_2.png,8,tinches,1,3865,1,2
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,3,novel_word_condition,flowers,flower_trumpet_3_2.png,0,tinches,2,6114,3,2
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,4,novel_word_condition,leaves,leaf_bean_3_2.png,0,palts,1,4231,3,2
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,4,novel_word_condition,leaves,leaf_bean_2_2.png,9,palts,2,6931,2,2
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,5,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,0,nefts,1,9831,2,1
21,borrowing_kids_pilot,3,07/24/2025,09:36:51,5,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,4,nefts,2,10830,1,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,0,familiar_word_condition,apples,apple_apple_6_0.png,10,apples,1,11273,6,0
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,0,familiar_word_condition,apples,apple_apple_5_0.png,6,apples,2,13347,5,0
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,1,familiar_word_condition,carrots,carrot_carrot_4_0.png,9,carrots,1,29488,4,0
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,1,familiar_word_condition,carrots,carrot_carrot_6_0.png,1,carrots,2,31821,6,0
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,2,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,10,mushrooms,1,12341,3,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,2,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,4,mushrooms,2,15126,1,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,3,familiar_word_condition,leaves,leaf_oak_2_1.png,6,leaves,1,4147,2,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,3,familiar_word_condition,leaves,leaf_oak_3_1.png,3,leaves,2,5382,3,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,4,familiar_word_condition,shells,shell_spiral_2_1.png,4,shells,1,7743,2,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,4,familiar_word_condition,shells,shell_spiral_3_1.png,6,shells,2,8965,3,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,5,familiar_word_condition,flowers,flower_star_3_1.png,4,flowers,1,6629,3,1
13,borrowing_kids_pilot,4,07/18/2025,13:47:44,5,familiar_word_condition,flowers,flower_round_1_1.png,3,flowers,2,8945,1,1
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,0,familiar_word_condition,carrots,carrot_carrot_3_0.png,3,carrots,1,4714,3,0
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,0,familiar_word_condition,carrots,carrot_carrot_2_0.png,11,carrots,2,6593,2,0
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,1,familiar_word_condition,apples,apple_apple_2_0.png,1,apples,1,4140,2,0
