participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality,experiment_date,date_of_birth,experimenter,notes,exclude,exclusion_reason,exact_age
25,exp_2_child,4,11/13/2025,13:32:35,0,familiar_word_condition,carrots,carrot_carrot_3_0.png,10,carrots,1,3677,3,0,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,0,familiar_word_condition,carrots,carrot_carrot_2_0.png,5,carrots,2,4759,2,0,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,1,familiar_word_condition,apples,apple_apple_5_0.png,6,apples,1,4309,5,0,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,1,familiar_word_condition,apples,apple_apple_2_0.png,5,apples,2,5144,2,0,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,2,familiar_word_condition,hats,hat_party_1_2.png,0,hats,1,3403,1,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,2,familiar_word_condition,hats,hat_party_3_2.png,5,hats,2,4498,3,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,3,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,5,mushrooms,1,3845,2,1,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,3,familiar_word_condition,mushrooms,mushroom_disc_3_2.png,6,mushrooms,2,4745,3,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,4,familiar_word_condition,spoons,spoon_slotted_3_2.png,10,spoons,1,3049,3,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,4,familiar_word_condition,spoons,spoon_square_1_2.png,3,spoons,2,4431,1,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
