study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality,participant_id
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,5,novel_word_condition,flowers,flower_iris_1_2.png,datches,2,7314,1,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,6,novel_word_condition,mushrooms,mushroom_bell_3_2.png,nefts,1,5043,3,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,6,novel_word_condition,mushrooms,mushroom_bell_1_2.png,nefts,2,6115,1,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,7,novel_word_condition,shoes,shoe_elf_1_2.png,gades,1,3793,1,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,7,novel_word_condition,shoes,shoe_elf_3_2.png,gades,2,4143,3,2,2
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,0,novel_word_condition,leaves,leaf_bean_3_2.png,leams,1,11316,3,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,0,novel_word_condition,leaves,leaf_bean_2_2.png,leams,2,11968,2,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,1,novel_word_condition,shells,shell_stingray_1_2.png,tinches,1,8452,1,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,1,novel_word_condition,shells,shell_stingray_3_2.png,tinches,2,11488,3,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,2,novel_word_condition,shoes,shoe_elf_1_2.png,gades,1,4815,1,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,2,novel_word_condition,shoes,shoe_elf_2_2.png,gades,2,5736,2,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,3,novel_word_condition,hats,hat_jester_2_2.png,serns,1,2937,2,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,3,novel_word_condition,hats,hat_jester_1_2.png,serns,2,3389,1,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,4,novel_word_condition,flowers,flower_star_2_1.png,bines,1,5109,2,1,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,4,novel_word_condition,flowers,flower_star_3_1.png,bines,2,5796,3,1,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,5,novel_word_condition,mushrooms,mushroom_disc_3_2.png,datches,1,36036,3,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,5,novel_word_condition,mushrooms,mushroom_disc_2_2.png,datches,2,37870,2,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,6,novel_word_condition,spoons,spoon_square_3_2.png,nefts,1,5223,3,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,6,novel_word_condition,spoons,spoon_square_2_2.png,nefts,2,5824,2,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,7,novel_word_condition,cups,cup_sherry_2_2.png,palts,1,2353,2,2,71
borrowing_adult_artifacts,69697a8d560c73e16eed9b00,7,novel_word_condition,cups,cup_sherry_3_2.png,palts,2,2926,3,2,71
borrowing_adult_artifacts,69697905b72db0a149d946a2,0,novel_word_condition,shoes,shoe_elf_3_2.png,gades,1,8103,3,2,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,0,novel_word_condition,shoes,shoe_elf_1_2.png,gades,2,8934,1,2,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,1,novel_word_condition,shells,shell_urn_3_2.png,tinches,1,6882,3,2,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,1,novel_word_condition,shells,shell_urn_2_2.png,tinches,2,7205,2,2,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,2,novel_word_condition,leaves,leaf_oak_3_1.png,nefts,1,6021,3,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,2,novel_word_condition,leaves,leaf_oak_2_1.png,nefts,2,6394,2,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,3,novel_word_condition,hats,hat_party_2_2.png,bines,1,5248,2,2,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,3,novel_word_condition,hats,hat_party_3_2.png,bines,2,5541,3,2,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,4,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,serns,1,4508,2,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,4,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,serns,2,4802,1,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,5,novel_word_condition,cups,cup_glass_2_1.png,leams,1,6397,2,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,5,novel_word_condition,cups,cup_glass_1_1.png,leams,2,6717,1,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,6,novel_word_condition,flowers,flower_star_1_1.png,datches,1,6313,1,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,6,novel_word_condition,flowers,flower_round_2_1.png,datches,2,6665,2,1,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,7,novel_word_condition,spoons,spoon_square_3_2.png,palts,1,5768,3,2,11
borrowing_adult_artifacts,69697905b72db0a149d946a2,7,novel_word_condition,spoons,spoon_square_2_2.png,palts,2,6141,2,2,11
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,0,novel_word_condition,hats,hat_jester_3_2.png,leams,1,13438,3,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,0,novel_word_condition,hats,hat_jester_1_2.png,leams,2,14282,1,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,1,novel_word_condition,flowers,flower_trumpet_3_2.png,tinches,1,11786,3,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,1,novel_word_condition,flowers,flower_trumpet_1_2.png,tinches,2,12826,1,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,2,novel_word_condition,shoes,shoe_elf_1_2.png,bines,1,12263,1,2,95
