participant_id,study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,3,familiar_word_condition,flowers,flower_round_3_1.png,flowers,1,5560,3,1
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,3,familiar_word_condition,flowers,flower_round_1_1.png,flowers,2,6448,1,1
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,0,familiar_word_condition,flowers,flower_iris_3_2.png,flowers,1,10967,3,2
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,0,familiar_word_condition,flowers,flower_star_1_1.png,flowers,2,13495,1,1
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,1,familiar_word_condition,shells,shell_spiral_2_1.png,shells,1,6940,2,1
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,1,familiar_word_condition,shells,shell_urn_2_2.png,shells,2,10613,2,2
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,2,familiar_word_condition,leaves,leaf_oak_3_1.png,leaves,1,6015,3,1
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,2,familiar_word_condition,leaves,leaf_droplet_3_1.png,leaves,2,8074,3,1
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,3,familiar_word_condition,mushrooms,mushroom_disc_2_2.png,mushrooms,1,6353,2,2
participant197,67cfb8a562de5c8e881149b4,67cfbba867cfd34b2e70e6ef,3,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,mushrooms,2,7953,2,1
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,0,familiar_word_condition,flowers,flower_iris_3_2.png,flowers,1,47863,3,2
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,0,familiar_word_condition,flowers,flower_star_3_1.png,flowers,2,48797,3,1
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,1,familiar_word_condition,leaves,leaf_bean_2_2.png,leaves,1,12525,2,2
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,1,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,2,13425,1,1
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,2,familiar_word_condition,shells,shell_spiral_3_1.png,shells,1,12371,3,1
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,2,familiar_word_condition,shells,shell_spiral_2_1.png,shells,2,13204,2,1
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,3,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,mushrooms,1,12420,3,1
participant215,67cfb8a562de5c8e881149b4,67cfc2abdb8f3a6d9a45363d,3,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,mushrooms,2,13893,2,1
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,0,familiar_word_condition,leaves,leaf_heart_1_2.png,leaves,1,10683,1,2
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,0,familiar_word_condition,leaves,leaf_heart_3_2.png,leaves,2,11599,3,2
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,1,familiar_word_condition,flowers,flower_trumpet_2_2.png,flowers,1,6148,2,2
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,1,familiar_word_condition,flowers,flower_trumpet_1_2.png,flowers,2,6681,1,2
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,2,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,mushrooms,1,3215,3,1
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,2,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,mushrooms,2,4199,2,1
